ID,名前,種別,初期レベル,レベル限界,初期HP,HP100,初期L ATK,初期L MAT,初期L DEF,初期L MDE,初期G ATK,初期G MAT,初期G DEF,初期G MDE,L ATK100,L MAT100,L DEF100,L MDE100,G ATK100,G MAT100,G DEF100,G MDE100,初期指揮,初期機動,指揮100,機動100,初期回復力,回復100,兵士数,死亡可,捕獲可,好感度,ス L ATK,ス L DEF,ス G ATK,サイズ　部下,装備,AI番号,立ち絵画像名,顔アイコン画像名,戦闘リーダープレハブ,戦闘兵士プレハブ,キャラ説明,死亡時セリフ,捕獲時セリフ,逃走時セリフ
0,アリス,0,15,-1,5,200,0,18,12,15,0,12,8,12,0,650,500,630,0,466,420,522,12,10,500,10,50,500,800,1,0,100,0,1,120,0,-1,0,000_cv_aliceA,600_fv_aliceA,bv_alice,bv_neomagicsoldier,説明不要だな。クフフフッ！　強くてかっこいい最強の魔女といえば、この私アリス様だ！,ぐ……うそ、だろ……,ERROR 制作者に報告してください,ちっ、退却だーー！！！
1,クロ,2,15,200,3,150,5,0,7,5,5,0,5,2,600,0,530,460,0,472,431,497,8,15,500,15,50,500,800,0,0,80,2,3,122,1,-1,1,008_cv_kuroA,608_fv_kuroA,bv_kuro,bv_slave,呼べば出てくる使える部下だ。ババアのころからの古参だな。私がここに来た時からいた気がするが、いったい何歳なのか……。,アリス様……,ERROR 制作者に報告してください,退却する！
2,メイジー,0,18,-1,2,100,0,15,5,20,0,12,8,12,0,580,480,800,0,580,480,800,9,12,500,12,120,500,600,1,1,10,4,5,120,0,-1,2,010_cv_meisieA,610_fv_meisieA,bv_meisie,bv_neomagicsoldier,一応妹弟子ってことになってるが、あいつはよわっちいし、すぐ泣くし、わめくし、口うるさいしでまったくうっとうしい奴だ。,そん…な……、ねえ……さん,いやっ！　ちょっと、離して！,にっ、逃げるわよ！
3,ワーウルフ,2,18,50,2,120,5,0,7,5,5,0,5,2,510,0,530,430,500,0,493,447,8,15,500,15,50,500,900,1,0,0,6,7,122,1,-1,3,011_cv_werewolfA,611_fv_werewolfA,bv_werewolf,bv_slave,知らん、次,くそ……ここまでか……,ERROR 制作者に報告してください,ふんっ、ひとまず退く！
4,ハル,1,1,80,2,50,0,15,10,13,0,12,8,12,0,400,450,500,0,542,417,494,8,12,500,12,50,500,100,1,0,0,8,9,121,0,-1,4,013_cv_haruA,613_fv_haruA,bv_haru,bv_magicsoldier,何だがなつかれちまったみたいだな。いつも私の周りをうっとうしく付きまとってくる奴だ。別に悪いってわけじゃねえけどさぁ……。,いや……だ、死にたく……ないよぉ,うぅ～～……,さっ、さらば～
5,トリアイナ,0,25,-1,2,80,0,15,10,13,0,12,8,12,0,550,420,560,0,496,411,500,8,12,500,12,50,500,1300,0,0,0,10,11,121,0,-1,5,004_cv_triainaA,604_fv_triainaA,bv_triaina,bv_neomagicsoldier,冷たい女だ。この前あいつの洗濯物と一緒に洗濯された私のドロワーズがカチコチになって返ってきた。あいつの洗濯物は私のに絶対混ぜるなってチシャにきつく言っとかなきゃな,うそ…でしょ……,ここまでね……,退くわ！
6,オリヴィア,1,22,-1,2,60,0,15,10,13,0,12,8,12,0,480,380,480,0,545,478,539,8,12,500,12,50,500,1200,0,0,0,12,13,121,0,-1,6,005_cv_oriviaA,605_fv_oriviaA,bv_orivia,bv_neomagicsoldier,きゃぴきゃぴしてて……なんていうか苦手な奴だ。魔女ならもっとシャキッとしろよなぁ……,いたいよぉ……、たす…けて……,うえっ……ぐす…,に、逃げなきゃ……
7,カートン,2,25,100,5,110,5,0,7,5,5,0,5,2,630,0,610,500,462,0,493,424,8,15,500,15,50,500,2000,1,1,0,14,15,121,1,-1,7,023_cv_kartonA,623_fv_kartonA,bv_karton,bv_leadersoldier,金ピカヨロイのヒゲおやじだ。どこかの傭兵みたいなバンダナをしてるが、オノで戦うんだよな……,ウオオオゥゥン,ウオオオォォン！,ウオオオォォォン！
8,ドード,2,25,-1,3,60,5,0,7,5,5,0,5,2,460,0,510,460,536,0,489,471,8,15,500,15,50,500,1400,1,1,0,16,17,121,1,-1,8,024_cv_doodA,624_fv_doodA,bv_dood,bv_slave,笑い方がきもい。がに股でひょろ長いのもきもい。ついでに顔もきもい,バカなぁ……ぐぶっ！,グッ、離さねえか！　クソッ！,イヒヒッ！　逃げるが勝ちってね
9,ベガ,4,28,-1,3,120,0,15,10,13,0,12,8,12,280,230,510,520,438,376,343,318,8,12,500,12,50,500,1500,1,1,0,22,19,121,2,-1,9,001_cv_vegaA,601_fv_vegaA,bv_vega,bv_dragon,見た目通りのまじめ、無骨、一本気！　って感じのやつだ。魔女というよりはドラゴンっぽい性格だな。ところで、あのごつい腕でどうやって食器を持つんだろうな。まともに食事ができなさそうだ。,メッサーシュミット……,ここまでか……,退却だ！
